省	路由条目	AS路径	归属AS号	归属AS名	次优路由条目	次优AS路径
北京	43.247.184.0/21	 9808 56048 	56048	北京移动	43.247.184.0/22	 9808 4134 23724 
北京	43.247.184.0/21	 9808 56048 	56048	北京移动	43.247.188.0/22	 9808 4134 23724 
北京	59.151.64.0/18	 9808 56048 9308 	9308	世纪互联	59.151.65.0/24	 9808 4134 4835 
北京	59.151.64.0/18	 9808 56048 9308 	9308	世纪互联	59.151.78.0/24	 9808 9308 
北京	59.151.64.0/18	 9808 56048 9308 	9308	世纪互联	59.151.101.0/24	 9808 9308 
北京	59.151.64.0/18	 9808 56048 9308 	9308	世纪互联	59.151.103.0/24	 9808 9308 
北京	60.195.248.0/21	 9808 56048 17964 	17964	北京电信通	60.195.252.0/22	 9808 9394 24138 17964 
北京	103.242.172.0/22	 9808 56048 	56048	北京移动	103.242.172.0/24	 9808 4837 4808 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.0.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.16.0/20	 9808 4134 4847 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.32.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.48.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.64.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.80.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.96.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.112.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.128.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.160.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.176.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.192.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.208.0/20	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.224.0/24	 9808 4837 4808 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.225.0/24	 9808 4134 4847 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.226.0/24	 9808 4837 4808 9298 9298 9298 9298 
北京	106.50.0.0/16	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	106.50.239.0/24	 9808 4134 4847 9298 
北京	106.50.224.0/20	 9808 56048 9298 9298 9298 9298 9298 9298 	9298	北京光环讯通数字技术有限公司	106.50.224.0/24	 9808 4837 4808 9298 
北京	106.50.224.0/20	 9808 56048 9298 9298 9298 9298 9298 9298 	9298	北京光环讯通数字技术有限公司	106.50.225.0/24	 9808 4134 4847 9298 
北京	106.50.224.0/20	 9808 56048 9298 9298 9298 9298 9298 9298 	9298	北京光环讯通数字技术有限公司	106.50.226.0/24	 9808 4837 4808 9298 9298 9298 9298 
北京	106.50.224.0/20	 9808 56048 9298 9298 9298 9298 9298 9298 	9298	北京光环讯通数字技术有限公司	106.50.239.0/24	 9808 4134 4847 9298 
北京	113.31.64.0/22	 9808 56048 45070 	45070	Brains Ocean Co.Ltd	113.31.64.0/23	 9808 4134 23724 
北京	113.31.64.0/22	 9808 56048 45070 	45070	Brains Ocean Co.Ltd	113.31.66.0/23	 9808 4134 23724 
北京	114.112.104.0/22	 9808 56048 	56048	北京移动	114.112.105.0/24	 9808 4837 4808 
北京	114.112.160.0/21	 9808 56048 	56048	北京移动	114.112.161.0/24	 9808 4837 4808 
北京	114.112.160.0/21	 9808 56048 	56048	北京移动	114.112.162.0/24	 9808 4837 4808 
北京	114.112.160.0/21	 9808 56048 	56048	北京移动	114.112.163.0/24	 9808 4837 4808 
北京	114.112.160.0/21	 9808 56048 	56048	北京移动	114.112.164.0/24	 9808 4837 4808 
北京	114.112.160.0/21	 9808 56048 	56048	北京移动	114.112.165.0/24	 9808 4837 4808 
北京	114.112.168.0/21	 9808 56048 	56048	北京移动	114.112.169.0/24	 9808 4134 4847 59011 
北京	114.112.168.0/21	 9808 56048 	56048	北京移动	114.112.175.0/24	 9808 4134 4847 59011 
北京	115.182.0.0/20	 9808 56048 17964 	17964	北京电信通	115.182.0.0/21	 9808 9394 24138 17964 
北京	115.182.0.0/20	 9808 56048 17964 	17964	北京电信通	115.182.8.0/21	 9808 9394 24138 17964 
北京	115.182.40.0/21	 9808 56048 38208 	38208	帝联CDN	115.182.40.0/22	 9808 9394 24138 17964 
北京	116.58.208.0/20	 9808 56048 9298 	9298	北京光环讯通数字技术有限公司	116.58.211.0/24	 9808 4134 4847 9298 
北京	116.70.0.0/18	 9808 64950 	64950	北京移动IDC	116.70.0.0/21	 9808 4837 4808 
北京	116.70.0.0/18	 9808 64950 	64950	北京移动IDC	116.70.8.0/21	 9808 4837 4808 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.64.0/21	 9808 9394 24138 38346 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.72.0/21	 9808 9394 24138 38346 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.84.0/22	 9808 9394 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.92.0/22	 9808 9394 24138 38346 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.96.0/19	 9808 7497 
北京	116.213.64.0/18	 9808 56048 	56048	北京移动	116.213.115.0/24	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.128.0/24	 9808 7497 24134 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.128.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.136.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.144.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.152.0/21	 9808 9394 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.160.0/20	 9808 4134 4847 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.168.0/24	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.168.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.170.0/24	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.172.0/22	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.176.0/21	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.184.0/21	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.192.0/18	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.196.0/22	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.200.0/21	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.208.0/20	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.212.0/22	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.216.0/22	 9808 9394 24138 38346 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.224.0/20	 9808 4134 4847 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.224.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.232.0/21	 9808 4837 4808 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.240.0/22	 9808 9394 38370 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.240.0/20	 9808 4134 4847 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.244.0/22	 9808 9394 38370 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.248.0/22	 9808 9394 38370 
北京	116.213.128.0/17	 9808 56048 	56048	北京移动	116.213.252.0/22	 9808 9394 38370 
北京	117.48.28.0/22	 9808 64950 64950 	64950	北京移动IDC	117.48.31.0/24	 9808 4134 23724 59089 
