游戏名称	日期	IP	端口	协议	备注
天天爱消除	2017/06/16	14.17.57.249	80	TCP	
天天爱消除	2017/06/16	119.147.207.170	80	TCP	
天天爱消除	2017/06/16	182.140.174.192	80	TCP	
天天爱消除	2017/06/16	124.161.24.181	80	TCP	
天天爱消除	2017/06/16	182.140.185.186	80	TCP	
天天爱消除	2017/06/16	14.215.140.28	80	TCP	
天天爱消除	2017/06/16	101.226.68.38	80	TCP	
天天爱消除	2017/06/16	125.39.240.115	80	TCP	
天天爱消除	2017/06/16	61.151.186.35	80	TCP	
天天爱消除	2017/06/16	112.90.74.168	80	TCP	
天天爱消除	2017/06/16	123.126.122.105	80	TCP	
天天爱消除	2017/06/16	183.60.61.53	80,8080,10012	TCP	
天天爱消除	2017/06/16	14.17.57.185	80	TCP	
天天爱消除	2017/06/16	14.17.52.191	80	TCP	
天天爱消除	2017/06/16	119.147.207.169	80	TCP	
天天爱消除	2017/06/16	115.25.209.123	80	TCP	
天天爱消除	2017/06/16	125.39.213.104	80,443	TCP	
天天爱消除	2017/06/16	124.161.24.139	80	TCP	
天天爱消除	2017/06/16	14.17.52.184	80	TCP	
诛仙3	2017/06/16	180.97.16.87	29000-29002	TCP	显ip
诛仙3	2017/06/16	203.80.146.240	29000	TCP	显ip
诛仙3	2017/06/16	203.80.146.164	29000-29002	TCP	显ip
诛仙3	2017/06/16	203.80.149.92	29000	TCP	显ip
诛仙3	2017/06/16	180.97.16.84	29000-29002	TCP	显ip
诛仙3	2017/06/16	180.101.192.245	29000-29002	TCP	显ip
诛仙3	2017/06/16	180.97.16.81	29000-29002	TCP	显ip
诛仙3	2017/06/16	180.101.192.123	29000-29002	TCP	显ip
诛仙3	2017/06/16	180.101.192.120	29000-29002	TCP	显ip
诛仙3	2017/06/16	203.80.146.245	29000	TCP	显ip
诛仙3	2017/06/16	180.101.192.242	29000-29002	TCP	显ip
诛仙3	2017/06/16	203.80.146.165	29000-29002	TCP	显ip
诛仙3	2017/06/16	180.101.192.54	29000-29002	TCP	显ip
