游戏名称	日期	IP	端口	协议	备注
时空猎人	2017/06/16	117.121.29.4	7093	TCP	
时空猎人	2017/06/16	117.121.29.5	7097	TCP	
时空猎人	2017/06/16	117.121.29.8	7096	TCP	
时空猎人	2017/06/16	117.121.27.36	7097	TCP	
JJ斗地主	2017/06/16	115.182.2.57	443	TCP	
JJ斗地主	2017/06/16	115.182.2.56	443	TCP	
JJ斗地主	2017/06/16	115.182.2.33	443	TCP	
JJ斗地主	2017/06/16	115.182.2.32	443	TCP	
JJ斗地主	2017/06/16	115.182.2.30	443	TCP	
JJ斗地主	2017/06/16	115.182.2.51	443	TCP	
JJ斗地主	2017/06/16	115.182.2.50	443	TCP	
JJ斗地主	2017/06/16	115.182.2.49	443	TCP	
JJ斗地主	2017/06/16	115.182.2.48	443,30300	TCP	
JJ斗地主	2017/06/16	115.182.2.47	443	TCP	
JJ斗地主	2017/06/16	115.182.2.45	443	TCP	
英魂之刃	2017/06/16	123.59.116.221	57000,58001	TCP	
坦克世界	2017/06/16	58.83.201.74	20202	UDP	
坦克世界	2017/06/16	58.83.201.76	20202	UDP	
坦克世界	2017/06/16	58.83.201.73	20202	UDP	
勇者斗恶龙X	2017/05/22	123.59.175.86	55554	TCP	
勇者斗恶龙X	2017/05/22	123.59.175.89	55554	TCP	
勇者斗恶龙X	2017/05/22	123.59.175.87	55554	TCP	
勇者斗恶龙X	2017/05/22	123.59.175.90	55554	TCP	
勇者斗恶龙X	2017/05/22	123.59.175.88	55554	TCP	
